,Shared Hapaxes,Unique Hapaxes in hapax_all.csv,Unique Hapaxes in hapax_gummere.csv
hapax_all.csv vs hapax_gummere.csv - Row 0,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 1,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 2,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 3,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 4,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 5,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 6,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 7,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 8,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 9,set(),set(),set()
hapax_all.csv vs hapax_gummere.csv - Row 10,set(),set(),set()
